timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
405687282,-0.07741456,-0.10858096,-0.048704833,-0.6197053,-0.004035218,0.036851283,-0.78395855,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405789015,0.10424203,-0.12575513,0.022398118,-0.62008107,-0.007674315,0.039621484,-0.78349906,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405888930,-0.012286397,0.0803653,-0.04633042,-0.6205752,-0.0050213696,0.0381397,-0.78320277,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405992911,-0.15880756,0.46071556,-0.09303703,-0.62087446,0.0074044974,0.02800257,-0.78337467,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406097318,-0.033218607,0.3244116,-0.060613494,-0.6208236,0.02116494,0.015621418,-0.7835088,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406197133,-0.059795145,-0.19826904,-0.02473647,-0.6209327,0.018518696,0.017314252,-0.7834538,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406300860,-0.11448261,-0.1195136,-0.03553987,-0.6196918,0.012498178,0.023733217,-0.78438693,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406401037,-0.055427294,0.0069299103,0.032845665,-0.6156805,0.0099474555,0.028534124,-0.7874164,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406504944,0.085929364,-0.12737393,0.23202752,-0.6082209,0.008497217,0.031212637,-0.79310834,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406608947,-0.051700093,-0.1277258,0.17945252,-0.5986058,0.006778611,0.034066953,-0.80029035,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406708960,-0.08831504,-0.33137807,0.29182863,-0.587032,-0.0038410607,0.042609595,-0.8084326,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406810584,0.024824552,-0.13693435,0.3098687,-0.57382154,-0.0145228105,0.05182396,-0.81721,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
406910500,-0.11096151,0.22929466,0.18076412,-0.56211346,-0.009970049,0.050598737,-0.8254507,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
