timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
270054472,1652271827199754,293754278,-895490855,15688,-10547,0.13900001,3.1415925,0.3129,0.6631,0.51,1.0,70,41,0.033,-0.018000001,0.028,-0.007,4.779052,-3944,,0.0,-14,-35,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270158470,1652271827299754,293754278,-895490855,15693,-10542,0.19500001,3.1415925,0.31309998,0.6637,0.51,1.0,70,41,0.042000003,-0.024,0.034,-0.082,4.779052,-3336,,0.0,-31,-11,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270259477,1652271827399754,293754277,-895490855,15692,-10542,0.16100001,3.1415925,0.3134,0.66429996,0.51,1.0,70,41,0.014,-0.010000001,0.009000001,0.003,4.779052,-3981,,0.0,48,6,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270358513,1652271827499754,293754277,-895490855,15693,-10542,0.18100001,3.0638568,0.3136,0.6649,0.51,1.0,70,41,0.045,-0.028,0.036000002,-0.056,4.779052,-4108,,0.0,26,24,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270458543,1652271827599754,293754277,-895490855,15696,-10538,0.21000001,3.1415925,0.31379998,0.6655,0.51,1.0,70,41,0.009000001,-0.009000001,0.001,-0.058000002,4.779052,-4021,,0.0,5,34,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270558472,1652271827699754,293754277,-895490855,15708,-10526,0.157,1.7815007,0.3141,0.6662,0.51,1.0,70,41,0.072000004,-0.061000004,0.038000003,-0.034,4.779052,-3909,,0.0,-25,38,1,-4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270659453,1652271827799754,293754277,-895490854,15710,-10525,0.21900001,3.1415925,0.3144,0.66679996,0.51,1.0,70,41,0.020000001,0.018000001,0.008,-0.08400001,4.779052,-3980,,0.0,-45,-44,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270754719,1652271827899754,293754276,-895490854,15714,-10520,0.194,3.0498683,0.3146,0.667,0.51,1.0,70,40,0.040000003,-0.040000003,0.008,-0.09,4.779052,-4176,,0.0,42,-42,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270866561,1652271827999755,293754276,-895490854,15721,-10514,0.21100001,3.1415925,0.31469998,0.6669,0.51,1.0,70,40,0.0050000004,0.0050000004,-0.001,-0.098000005,4.779052,-3988,,0.0,26,-47,-5,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
270951529,1652271828099754,293754276,-895490855,15723,-10511,0.19800001,3.1415925,0.3148,0.6669,0.51,1.0,70,40,0.033,-0.0050000004,-0.033,-0.095000006,4.779052,-3796,,0.0,22,31,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
